,date,max_temp,min_temp
240,2020-09-05,31,27
241,2020-09-06,31,27
242,2020-09-07,31,27
243,2020-09-08,31,27
244,2020-09-09,31,27
245,2020-09-10,31,27
246,2020-09-11,31,27
247,2020-09-12,31,27
248,2020-09-13,31,27
249,2020-09-14,31,27
250,2020-09-15,31,27
251,2020-09-16,31,27
252,2020-09-17,31,27
253,2020-09-18,31,27
254,2020-09-19,31,27
255,2020-09-20,31,27
256,2020-09-21,31,27
257,2020-09-22,31,27
258,2020-09-23,31,27
259,2020-09-24,31,27
260,2020-09-25,31,27
261,2020-09-26,31,27
262,2020-09-27,31,27
263,2020-09-28,31,27
264,2020-09-29,31,27
265,2020-10-01,31,27
266,2020-10-02,31,27
267,2020-10-03,31,27
268,2020-10-04,31,27
269,2020-10-05,31,27
270,2020-10-06,31,27
271,2020-10-07,31,27
272,2020-10-08,31,27
273,2020-10-09,31,27
274,2020-10-10,31,27
275,2020-10-11,31,27
276,2020-10-12,31,27
277,2020-10-13,31,27
278,2020-10-14,31,27
279,2020-10-15,31,27
280,2020-10-16,31,27
281,2020-10-17,31,27
282,2020-10-18,31,27
283,2020-10-19,31,27
284,2020-10-20,31,27
285,2020-10-21,31,27
286,2020-10-22,31,27
287,2020-10-23,31,27
288,2020-10-24,31,27
289,2020-10-25,31,27
290,2020-10-26,31,27
291,2020-10-27,31,27
292,2020-10-28,31,27
293,2020-10-29,31,27
294,2020-10-30,31,27
295,2020-11-01,31,27
296,2020-11-02,31,27
297,2020-11-03,31,27
298,2020-11-04,31,27
299,2020-11-05,31,27
300,2020-11-06,31,27
301,2020-11-07,31,27
302,2020-11-08,31,27
303,2020-11-09,31,27
304,2020-11-10,31,27
305,2020-11-11,31,27
306,2020-11-12,31,27
307,2020-11-13,31,27
308,2020-11-14,31,27
309,2020-11-15,31,27
310,2020-11-16,31,27
311,2020-11-17,31,27
312,2020-11-18,31,27
313,2020-11-19,31,27
314,2020-11-20,31,27
315,2020-11-21,31,27
316,2020-11-22,31,27
317,2020-11-23,31,27
318,2020-11-24,31,27
319,2020-11-25,31,27
320,2020-11-26,31,27
321,2020-11-27,31,27
322,2020-11-28,31,27
323,2020-11-29,31,27
324,2020-12-01,10,6
325,2020-12-02,6,3
326,2020-12-03,7,1
327,2020-12-04,8,0
328,2020-12-05,7,1
329,2020-12-06,12,5
330,2020-12-07,6,4
331,2020-12-08,7,4
332,2020-12-09,9,7
333,2020-12-10,9,8
334,2020-12-11,9,2
335,2020-12-12,12,1
336,2020-12-13,11,-1
337,2020-12-14,2,-4
338,2020-12-15,4,-3
339,2020-12-16,6,-2
340,2020-12-17,7,1
341,2020-12-18,6,0
342,2020-12-19,7,-3
343,2020-12-20,8,-1
344,2020-12-21,9,-1
345,2020-12-22,10,1
346,2020-12-23,10,3
347,2020-12-24,12,0
348,2020-12-25,11,5
349,2020-12-26,12,7
350,2020-12-27,13,3
351,2020-12-28,15,7
352,2020-12-29,9,-6
353,2020-12-30,-3,-7
354,2021-01-01,5,-4
355,2021-01-02,7,0
356,2021-01-03,10,1
357,2021-01-04,9,2
358,2021-01-05,6,0
359,2021-01-06,4,-7
360,2021-01-07,-4,-6
361,2021-01-08,0,-6
362,2021-01-09,4,-5
363,2021-01-10,4,-4
364,2021-01-11,6,-4
365,2021-01-12,10,3
366,2021-01-13,16,1
367,2021-01-14,17,2
368,2021-01-15,15,-1
369,2021-01-16,4,-2
370,2021-01-17,6,0
371,2021-01-18,11,0
372,2021-01-19,12,2
373,2021-01-20,16,8
374,2021-01-21,12,9
375,2021-01-22,8,4
376,2021-01-23,6,1
377,2021-01-24,8,7
378,2021-01-25,10,6
379,2021-01-26,6,1
380,2021-01-27,8,3
381,2021-01-28,10,-4
382,2021-01-29,10,0
383,2021-01-30,15,7
384,2021-02-01,11,2
385,2021-02-02,6,3
386,2021-02-03,16,3
387,2021-02-04,12,7
388,2021-02-05,9,6
389,2021-02-06,18,5
390,2021-02-07,21,5
391,2021-02-08,9,0
392,2021-02-09,11,5
393,2021-02-10,12,7
394,2021-02-11,11,8
395,2021-02-12,13,7
396,2021-02-13,17,9
397,2021-02-14,19,8
398,2021-02-15,10,3
399,2021-02-16,15,0
400,2021-02-17,9,-2
401,2021-02-18,12,3
402,2021-02-19,20,10
403,2021-02-20,23,12
404,2021-02-21,26,14
405,2021-02-22,25,5
406,2021-02-23,13,3
407,2021-02-24,16,9
408,2021-02-25,11,7
409,2021-02-26,7,5
410,2021-02-27,13,8
411,2021-03-01,11,0
412,2021-03-02,11,3
413,2021-03-03,10,5
414,2021-03-04,17,6
415,2021-03-05,13,8
416,2021-03-06,10,4
417,2021-03-07,8,5
418,2021-03-08,11,7
419,2021-03-09,10,5
420,2021-03-10,15,9
421,2021-03-11,11,7
422,2021-03-12,13,7
423,2021-03-13,15,6
424,2021-03-14,20,10
425,2021-03-15,17,12
426,2021-03-16,14,7
427,2021-03-17,11,8
428,2021-03-18,13,9
429,2021-03-19,11,8
430,2021-03-20,12,8
431,2021-03-21,15,2
432,2021-03-22,16,4
